"STATION","NAME","DATE","AWND","CLDD","DSNW","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2015-12","7.4","0","0","472","4.40","0.3","49.8","56.6","42.9",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2016-01","10.3","0","1","981","4.02","25.7","33.4","41.3","25.5",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2016-02","10.7","0","2","807","4.04","5.2","37.2","45.7","28.6",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2016-03","10.1","5","1","498","1.38","1.6","49.1","58.8","39.4",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2016-04","9.8","13","0","369","1.13","0.0","53.1","63.3","43.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2016-05","7.8","97","0","171","3.85","0.0","62.6","71.5","53.7",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2016-06","8.7","242","0","4","2.41","0.0","72.9","82.5","63.3",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2016-07","8.5","463","0","0","6.07","0.0","79.9","88.9","71.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2016-08","8.5","461","0","0","0.93","0.0","79.9","88.6","71.2",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2016-09","9.4","223","0","17","2.17","0.0","71.8","80.6","63.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2016-10","9.2","30","0","220","3.00","0.0","58.9","67.5","50.3",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2016-11","9.8","0","0","461","6.52","0.0","49.7","58.2","41.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2016-12","10.1","0","1","844","2.91","3.4","37.8","44.6","30.9",
